"major_heading";"activity_code";"met_value";"activity_description";"cal_60kg_h";"cal_70kg_h";"cal_80kg_h"
"Home Repair";"06160";"3.3";"Painting inside house, wallpapering, scraping paint";"208";"243";"277"
"Home Repair";"06165";"4.5";"Painting (Taylor Code 630)";"284";"331";"378"
"Home Repair";"06167";"3";"Plumbing, general";"189";"220";"252"
"Home Repair";"06170";"3";"Put on and removal of tarp – sailboat";"189";"220";"252"
"Home Repair";"06180";"6";"Roofing";"378";"441";"504"
"Home Repair";"06190";"4.5";"Sanding floors with a power sander";"284";"331";"378"
"Home Repair";"06200";"4.5";"Scraping and painting sailboat or powerboat";"284";"331";"378"
"Home Repair";"06205";"2";"Sharpening tools";"126";"147";"168"
"Home Repair";"06210";"5";"Spreading dirt with a shovel";"315";"368";"420"
"Home Repair";"06220";"4.5";"Washing and waxing hull of sailboat or airplane";"284";"331";"378"
"Home Repair";"06225";"2";"Washing and waxing car";"126";"147";"168"
"Home Repair";"06230";"4.5";"Washing fence, painting fence, moderate effort";"284";"331";"378"
"Home Repair";"06240";"3.3";"Wiring, tapping-splicing";"208";"243";"277"
"Inactivity";"07009";"1";"Lying quietly and watching television";"63";"74";"84"
"Inactivity";"07011";"1";"Lying quietly, doing nothing, lying in bed awake, listening to music (not talking or reading)";"63";"74";"84"
"Inactivity";"07020";"1";"Sit, watch television";"63";"74";"84"
"Inactivity";"07021";"1";"Sitting quietly, general";"63";"74";"84"
"Inactivity";"07022";"1.5";"Sitting quietly, fidgeting, general, fidgeting hands";"94";"110";"126"
"Inactivity";"07023";"1.8";"Sitting, fidget feet";"113";"132";"151"
"Inactivity";"07024";"1.3";"Sitting smoking";"82";"96";"109"
"Inactivity";"07025";"1.5";"Sitting, listening to music (not talking or reading) or watching a movie in a theater";"94";"110";"126"
"Inactivity";"07026";"1.3";"Sitting at a desk, resting head in hands";"82";"96";"109"
"Inactivity";"07030";"1";"Sleeping";"63";"74";"84"
"Inactivity";"07040";"1.3";"Standing quietly (standing in a line)";"82";"96";"109"
"Inactivity";"07041";"1.5";"Standing (fidgeting)";"94";"110";"126"
"Inactivity";"07045";"1.3";"Standing watching television";"82";"96";"109"
"Inactivity";"07050";"1.5";"Reclining, writing";"94";"110";"126"
"Inactivity";"07060";"1.3";"Reclining, talking or talking on phone";"82";"96";"109"
"Inactivity";"07070";"1.3";"Reclining, reading";"82";"96";"109"
"Inactivity";"07075";"1";"Meditating";"63";"74";"84"
"Lawn & Garden";"08009";"4.1";"Carrying, loading or stacking wood, loading/unloading or carrying lumber, light-to- moderate effort";"258";"301";"344"
"Lawn & Garden";"08010";"5.5";"Carrying, loading or stacking wood, loading/unloading or carrying lumber, moderate effort";"346";"404";"462"
"Lawn & Garden";"08019";"4.5";"Chopping wood, splitting logs, moderate effort";"284";"331";"378"
"Lawn & Garden";"08020";"6.5";"Chopping wood, splitting logs, vigorous effort";"410";"478";"546"
"Lawn & Garden";"08025";"3.5";"Clearing light brush, thinning garden, moderate effort";"220";"257";"294"
"Lawn & Garden";"08030";"6.3";"Clearing land, haul brush, undergrowth, or ground, vigorous effort";"397";"463";"529"
"Lawn & Garden";"08040";"5";"Digging sandbox, shoveling sand";"315";"368";"420"
"Lawn & Garden";"08045";"3.5";"Digging, spading, filling garden, composting, light-to-moderate effort";"220";"257";"294"
"Lawn & Garden";"08050";"5";"Digging, spading, filling garden, composting (Taylor Code 590)";"315";"368";"420"
"Lawn & Garden";"08052";"7.3";"Digging, spading, filling garden, composting, vigorous effort";"460";"537";"613"
"Lawn & Garden";"08055";"2.8";"Driving tractor";"176";"206";"235"
"Lawn & Garden";"08057";"8.3";"Felling trees, large size";"523";"610";"697"
"Lawn & Garden";"08058";"5.3";"Felling trees, small-medium size";"334";"390";"445"
"Lawn & Garden";"08060";"5.8";"Gardening with heavy power tools, using chain saw, tilling a garden";"365";"426";"487"
"Lawn & Garden";"08066";"2";"gardening, general";"126";"147";"168"
"Lawn & Garden";"08070";"4";"Irrigation channels, opening and closing ports";"252";"294";"336"
"Lawn & Garden";"08080";"6.3";"Laying crushed rock or gravel";"397";"463";"529"
"Lawn & Garden";"08090";"5";"Laying sod";"315";"368";"420"
"Lawn & Garden";"08095";"5.5";"Mowing lawn, general, walking, moderate effort";"346";"404";"462"
"Lawn & Garden";"08100";"2.5";"Mowing lawn, riding mower (Taylor Code 550)";"158";"184";"210"
"Lawn & Garden";"08110";"6";"Mowing lawn, hand mower, vigorous effort (Taylor Code 570)";"378";"441";"504"
"Lawn & Garden";"08120";"5";"Mowing lawn, walk, power mower,  moderate or vigorous effort";"315";"368";"420"
"Lawn & Garden";"08125";"4.5";"Mowing lawn, power mower, light or moderate effort (Taylor Code 590)";"284";"331";"378"
"Lawn & Garden";"08130";"2.5";"Operating snow blower, walking";"158";"184";"210"
"Lawn & Garden";"08135";"2.6";"Planting, potting, transplanting seedlings or plants, light effort";"164";"191";"218"
"Lawn & Garden";"08140";"4.3";"Planting seedlings, shrubs, stooping, moderate effort";"271";"316";"361"
"Lawn & Garden";"08145";"4.3";"Planting crops or garden, stooping, moderate effort";"271";"316";"361"
"Lawn & Garden";"08150";"4.5";"Planting trees";"284";"331";"378"
"Lawn & Garden";"08160";"4";"Raking lawn or leaves, moderate effort";"252";"294";"336"
"Lawn & Garden";"08165";"4";"Raking lawn (Taylor Code 600)";"252";"294";"336"
"Lawn & Garden";"08170";"4";"Raking roof with snow rake";"252";"294";"336"
"Lawn & Garden";"08180";"3";"Riding snow blower";"189";"220";"252"
"Lawn & Garden";"08190";"4";"Sacking grass, leaves";"252";"294";"336"
"Lawn & Garden";"08192";"5.5";"Shoveling dirt or mud";"346";"404";"462"
"Lawn & Garden";"08195";"5.3";"Shoveling snow, by hand, moderate effort";"334";"390";"445"
"Lawn & Garden";"08200";"6";"Shoveling snow, by hand (Taylor Code 610)";"378";"441";"504"
"Lawn & Garden";"08202";"7.5";"Shoveling snow, by hand, vigorous effort";"472";"551";"630"
"Lawn & Garden";"08210";"3.8";"Trimming shrubs or trees, manual cutter";"239";"279";"319"
"Lawn & Garden";"08215";"3.3";"Trimming shrubs or trees, power cutter, using leaf blower, edger, moderate effort";"208";"243";"277"
"Lawn & Garden";"08220";"3";"Walking, applying fertilizer or seeding a lawn, push applicator";"189";"220";"252"
"Lawn & Garden";"08230";"4";"Watering lawn or garden, standing or walking";"252";"294";"336"
"Lawn & Garden";"08239";"3.8";"Weeding, cultivating garden, light-to-moderate effort";"239";"279";"319"
"Lawn & Garden";"08240";"4.5";"Weeding, cultivating garden, moderate effort (Taylor Code 580)";"284";"331";"378"
"Lawn & Garden";"08241";"5";"Weeding, cultivating garden, using hoe moderate-to-vigorous effort";"315";"368";"420"
"Lawn & Garden";"08245";"3.8";"Gardening, general, moderate effort";"239";"279";"319"
"Lawn & Garden";"08246";"3.5";"Picking fruit or coffee from trees, moderate effort";"220";"257";"294"
"Lawn & Garden";"08248";"4.5";"Harvesting Produce, Picking fruit off trees, gleaning fruits, picking fruits/vegetables, climbing ladder to pick fruit, vigorous effort";"284";"331";"378"
"Lawn & Garden";"08250";"3";"Implied walking/standing - picking up yard, light, picking flowers or vegetables";"189";"220";"252"
"Lawn & Garden";"08251";"3";"Walking, gathering gardening tools";"189";"220";"252"
"Lawn & Garden";"08255";"4.8";"Wheel barrow, pushing garden cart or wheelbarrow, general";"302";"353";"403"
"Lawn & Garden";"08256";"6";"Wheel barrow, pushing large garden cart or heavy wheelbarrow up to 150kg";"378";"441";"504"
"Lawn & Garden";"08260";"2.3";"Yardwork, general, light effort";"145";"169";"193"
"Lawn & Garden";"08261";"4";"Yardwork, general, moderate effort";"252";"294";"336"
"Lawn & Garden";"08262";"6";"Yardwork, general, vigorous effort";"378";"441";"504"
"Miscellaneous";"09000";"1.3";"Board game playing, sitting";"82";"96";"109"
"Miscellaneous";"09005";"2.5";"Casino gambling, standing";"158";"184";"210"
"Miscellaneous";"09010";"1.5";"Card playing, sitting";"94";"110";"126"
"Miscellaneous";"09013";"1.5";"Chess game, sitting";"94";"110";"126"
"Miscellaneous";"09015";"1.5";"Copying or filing documents, standing";"94";"110";"126"
"Miscellaneous";"09020";"1.8";"Drawing, writing, painting, standing";"113";"132";"151"
"Miscellaneous";"09025";"1";"Laughter, sitting";"63";"74";"84"
"Miscellaneous";"09030";"1";"Sitting: reading, book, newspaper, magazine";"63";"74";"84"
"Miscellaneous";"09034";"1.8";"sitting, typing or reading on a balance chair/stability ball";"113";"132";"151"
"Miscellaneous";"09036";"2";"watching tv, stepping during commercial breaks";"126";"147";"168"
"Miscellaneous";"09040";"1.3";"Sitting: writing, desk work, typing";"82";"96";"109"
"Miscellaneous";"09050";"1.3";"Standing:  talking in person, on the phone, computer, text messaging, writing";"82";"96";"109"
"Miscellaneous";"09055";"1.3";"Sitting: talking in person, on the phone, computer, or  text messaging, light effort";"82";"96";"109"
"Miscellaneous";"09060";"1.5";"Sitting - studying, general, including reading and/or writing, light effort";"94";"110";"126"
"Miscellaneous";"09065";"1.8";"Sitting - in class, general, including note-taking or class discussion";"113";"132";"151"
"Miscellaneous";"09070";"1";"Standing - reading";"63";"74";"84"
"Miscellaneous";"09071";"2.5";"Standing: miscellaneous";"158";"184";"210"
"Miscellaneous";"09075";"1.8";"Sitting: arts and crafts, carving wood, weaving, spinning wool, light effort";"113";"132";"151"
"Miscellaneous";"09080";"3";"Sitting: arts and crafts, carving wood, weaving, spinning wool, moderate effort";"189";"220";"252"
"Miscellaneous";"09085";"2.5";"Standing: arts and crafts, sand painting, carving, weaving, light effort";"158";"184";"210"
"Miscellaneous";"09090";"3.3";"Standing - arts and crafts, sand painting, carving, weaving, moderate effort";"208";"243";"277"
"Miscellaneous";"09095";"3.5";"Standing - arts and crafts, sand painting, carving, weaving, vigorous effort";"220";"257";"294"
"Miscellaneous";"09100";"1.5";"Retreat/family reunion activities involving sitting, relaxing, talking, eating";"94";"110";"126"
"Miscellaneous";"09101";"2.5";"Retreat/family reunion activities involving playing games with children";"158";"184";"210"
"Miscellaneous";"09105";"2";"Touring/traveling/vacation involving  riding in vehicle";"126";"147";"168"
"Miscellaneous";"09106";"3.5";"Touring/traveling/vacation involving walking";"220";"257";"294"
"Miscellaneous";"09110";"2.5";"Camping involving standing, walking, sitting, light-to-moderate effort";"158";"184";"210"
"Miscellaneous";"09115";"1.5";"Sitting at a sporting event, spectator";"94";"110";"126"
"Music Playing";"10010";"1.8";"Accordion, sitting";"113";"132";"151"
"Music Playing";"10020";"2.3";"Cello, sitting";"145";"169";"193"
"Music Playing";"10030";"2.3";"Conducting orchestra, standing";"145";"169";"193"
"Music Playing";"10035";"2.5";"Double bass, standing";"158";"184";"210"
"Music Playing";"10040";"3.8";"Drums, sitting";"239";"279";"319"
"Music Playing";"10045";"3";"Drumming (e.g., bongo, conga, benbe), moderate, sitting";"189";"220";"252"
"Music Playing";"10048";"8.3";"Drumming, concert/live show";"523";"610";"697"
"Music Playing";"10050";"2";"Flute, sitting";"126";"147";"168"
"Music Playing";"10060";"1.8";"Horn, standing";"113";"132";"151"
"Music Playing";"10070";"2.3";"Piano, sitting";"145";"169";"193"
"Music Playing";"10074";"2";"Playing musical instruments, general";"126";"147";"168"
"Music Playing";"10077";"2";"Organ, sitting";"126";"147";"168"
"Music Playing";"10080";"3.5";"Trombone, standing";"220";"257";"294"
"Music Playing";"10090";"2.5";"Trumpet, standing";"158";"184";"210"
"Music Playing";"10100";"2.5";"Violin, sitting";"158";"184";"210"
"Music Playing";"10110";"1.8";"Woodwind instruments, sitting";"113";"132";"151"
"Music Playing";"10115";"1.8";"Brass instruments, sitting";"113";"132";"151"
"Music Playing";"10120";"2";"Guitar, classical, folk, sitting";"126";"147";"168"
"Music Playing";"10125";"3";"Guitar, rock and roll band, standing";"189";"220";"252"
"Music Playing";"10130";"4";"Marching band, baton twirling, walking, moderate pace, general";"252";"294";"336"
"Music Playing";"10131";"5.5";"Marching band, playing an instrument, walking, brisk pace, general";"346";"404";"462"
"Music Playing";"10135";"3.5";"Marching band, drum major, walking";"220";"257";"294"
"Occupation";"11000";"2";"Active workstation, Pedal desk, balance chair/ball, General, light effort";"126";"147";"168"
"Occupation";"11001";"3.5";"Active workstation, Pedal desk (40 watts)";"220";"257";"294"
"Occupation";"11002";"5.3";"Active workstation, Pedal desk (80 watts)";"334";"390";"445"
"Occupation";"11003";"2";"Active workstation, treadmill desk, walking slowly 1.0 mph or less";"126";"147";"168"
"Occupation";"11004";"2.8";"Active workstation, treadmill desk, walking  1.0 - 2.0 mph";"176";"206";"235"
"Occupation";"11006";"3";"Airline flight attendant";"189";"220";"252"
"Occupation";"11008";"4.8";"Apple Harvesting";"302";"353";"403"
"Occupation";"11010";"4";"Bakery, general, moderate effort";"252";"294";"336"
"Occupation";"11015";"2";"Bakery, light effort";"126";"147";"168"
"Occupation";"11020";"2.3";"Bookbinding";"145";"169";"193"
"Occupation";"11030";"6";"Building road, driving heavy machinery";"378";"441";"504"
"Occupation";"11035";"2";"Building road, directing traffic, standing";"126";"147";"168"
"Occupation";"11038";"2.5";"Carpentry, general, light effort";"158";"184";"210"
"Occupation";"11040";"4.3";"Carpentry, general, moderate effort";"271";"316";"361"
"Occupation";"11042";"7";"Carpentry, general, heavy or vigorous effort";"441";"514";"588"
"Occupation";"11050";"8";"Carrying heavy loads (e.g., bricks, tools)";"504";"588";"672"
"Occupation";"11060";"8";"Carrying moderate loads up stairs, moving  boxes, 25-49 lbs";"504";"588";"672"
"Occupation";"11070";"4";"Chambermaid, hotel housekeeper, making bed,  cleaning bathroom, pushing cart";"252";"294";"336"
"Occupation";"11072";"4.3";"Cleaning, vacuuming commercial space";"271";"316";"361"
"Occupation";"11080";"5.3";"Coal mining, drilling coal, rock";"334";"390";"445"
"Occupation";"11090";"5";"Coal mining, erecting supports";"315";"368";"420"
"Occupation";"11100";"5.5";"Coal mining, general";"346";"404";"462"
"Occupation";"11110";"6.3";"Coal mining, shoveling coal, by hand";"397";"463";"529"
"Occupation";"11115";"2.5";"Cook, chef";"158";"184";"210"
"Occupation";"11120";"4";"Construction, outside, remodeling, new  structures (e.g., roof repair, miscellaneous)";"252";"294";"336"
"Occupation";"11124";"2.3";"Construction, rebar, bar bending/fixing";"145";"169";"193"
"Occupation";"11125";"2.3";"Custodial work, light effort (e.g., cleaning sink  and toilet, dusting, vacuuming, light cleaning)";"145";"169";"193"
"Occupation";"11130";"3.3";"Electrical work (e.g., hook up wire, tapping splicing); plumbing moved to11516";"208";"243";"277"
"Occupation";"11135";"1.8";"Engineer (e.g., mechanical or electrical)";"113";"132";"151"
"Occupation";"11145";"7.8";"Farming, vigorous effort (e.g., baling hay,  cleaning barn), includes former code 11200";"491";"573";"655"
"Occupation";"11147";"2";"Farming, light effort, (e.g., cleaning animal  sheds, preparing animal feed)";"126";"147";"168"
"Occupation";"11170";"2.8";"Farming, driving tasks (e.g., driving tractor or  harvester)";"176";"206";"235"
"Occupation";"11180";"3.5";"Farming, feeding small animals";"220";"257";"294"
"Occupation";"11190";"4.3";"Farming, feeding cattle, horses";"271";"316";"361"
"Occupation";"11191";"4.3";"Farming, hauling water for animals, fetching  water from well or stream";"271";"316";"361"
"Occupation";"11195";"3.8";"Farming, rice, planting, grain milling activities";"239";"279";"319"
"Occupation";"11210";"3.5";"Farming, milking by hand, cleaning pails,  moderate effort";"220";"257";"294"
"Occupation";"11220";"1.3";"Farming, milking by machine, light effort";"82";"96";"109"
"Occupation";"11222";"3";"Farming, milking Cows, full milking process, modern milking parlor with milking machines";"189";"220";"252"
"Occupation";"11240";"8";"Fire fighter, general";"504";"588";"672"
"Occupation";"11244";"6.8";"Fire fighter, rescue victim, automobile  accident, using pike pole";"428";"500";"571"
"Occupation";"11245";"8";"Fire fighter, raising and climbing ladder with  full gear, simulated fire suppression";"504";"588";"672"
"Occupation";"11246";"9";"Fire fighter, hauling hoses on ground,  carrying/hoisting equipment, breaking down  walls etc., wearing full gear";"567";"662";"756"
"Occupation";"11247";"3.5";"Fishing, commercial, light effort";"220";"257";"294"
"Occupation";"11248";"5";"Fishing, commercial, moderate effort";"315";"368";"420"
"Occupation";"11250";"17.5";"Forestry, ax chopping, very fast, 1.25 kg axe,  51 blows/min, extremely vigorous effort";"1102";"1286";"1470"
"Occupation";"11260";"5";"Forestry, ax chopping, slow, 1.25 kg axe, 19  blows/min, moderate effort";"315";"368";"420"
"Occupation";"11262";"8";"Forestry, ax chopping, fast, 1.25 kg axe, 35  blows/min, vigorous effort";"504";"588";"672"
"Occupation";"11264";"5";"Forestry, moderate effort (e.g., sawing wood  with power saw, weeding, hoeing)";"315";"368";"420"
"Occupation";"11370";"4.8";"Furriery";"302";"353";"403"
"Occupation";"11375";"3.8";"Garbage collector, walking, dumping bins into truck, street cleaning";"239";"279";"319"
"Occupation";"11378";"1.8";"Hairstylist (e.g., plaiting hair, manicure, make up artist)";"113";"132";"151"
"Occupation";"11380";"7.3";"Horse grooming, including feeding, cleaning  stalls, bathing, brushing, clipping, longeing and  exercising horses.";"460";"537";"613"
"Occupation";"11381";"4.3";"Horse, feeding, watering, cleaning stalls, implied walking and lifting loads";"271";"316";"361"
"Occupation";"11383";"4.5";"Horseback riding, working, cutting cows";"284";"331";"378"
"Occupation";"11390";"7.8";"Horse racing, galloping, cantor";"491";"573";"655"
"Occupation";"11400";"6.3";"Horse racing, Jockey, trotting";"397";"463";"529"
"Occupation";"11410";"2.3";"Horse racing, Jockey, walking";"145";"169";"193"
"Occupation";"11413";"3";"Kitchen maid";"189";"220";"252"
"Occupation";"11415";"4";"Lawn keeper, yardwork, general";"252";"294";"336"
"Occupation";"11416";"3";"Lawn keeper, weeding, gas powered";"189";"220";"252"
"Occupation";"11418";"3.3";"Laundry worker";"208";"243";"277"
"Occupation";"11420";"3";"Locksmith";"189";"220";"252"
"Occupation";"11430";"3";"Machine tooling (e.g., machining, working  sheet metal, machine fitter, operating lathe,  welding) light-to-moderate effort";"189";"220";"252"
"Occupation";"11450";"5";"Machine tooling, operating punch press,  moderate effort";"315";"368";"420"
"Occupation";"11472";"1.8";"Manager, property";"113";"132";"151"
"Occupation";"11475";"2.8";"Manual or unskilled labor, general, light effort";"176";"206";"235"
"Occupation";"11476";"4.5";"Manual or unskilled labor, general, moderate effort";"284";"331";"378"
"Occupation";"11477";"6.5";"Manual or unskilled labor, general, vigorous effort";"410";"478";"546"
"Occupation";"11480";"4.3";"Masonary, concrete, moderate effort";"271";"316";"361"
"Occupation";"11482";"2.5";"Masonry, concrete, light effort";"158";"184";"210"
"Occupation";"11485";"5.5";"Massage therapist, standing";"346";"404";"462"
"Occupation";"11486";"2.3";"Mail carrier, walking to deliver mail";"145";"169";"193"
"Occupation";"11487";"1.5";"Mail delivery, motorbike";"94";"110";"126"
"Occupation";"11488";"3.5";"Mail delivery, Electronically Assisted Bicycle";"220";"257";"294"
"Occupation";"11490";"7.5";"Moving, carrying or pushing heavy objects, 75  lbs or more, only active time (e.g., desks,  moving van work)";"472";"551";"630"
"Occupation";"11493";"8.5";"Mining, general services, drilling, mining support jobs (mechanical, welding, pipe installation, general construction)";"536";"625";"714"
"Occupation";"11495";"12";"Skindiving or SCUBA diving as a frogman,  Navy Seal";"756";"882";"1008"
"Occupation";"11500";"2.5";"Operating heavy duty equipment, automated,  not driving";"158";"184";"210"
"Occupation";"11510";"3.5";"Orange grove work, picking fruit";"220";"257";"294"
"Occupation";"11514";"3.3";"Painting, house, furniture, moderate effort";"208";"243";"277"
"Occupation";"11516";"3";"Plumbing activities";"189";"220";"252"
"Occupation";"11520";"2";"Printing, paper industry worker, standing";"126";"147";"168"
"Occupation";"11524";"3.8";"Police Officer, Walking";"239";"279";"319"
"Occupation";"11525";"2.5";"Police, directing traffic, standing";"158";"184";"210"
"Occupation";"11526";"2";"Police, driving a squad car, sitting";"126";"147";"168"
"Occupation";"11527";"1.3";"Police, riding in a squad car, sitting";"82";"96";"109"
"Occupation";"11528";"4";"Police, making an arrest, standing";"252";"294";"336"
"Occupation";"11529";"9";"Counter terrorism maneuvers, clearing building";"567";"662";"756"
"Occupation";"11530";"2";"Shoe repair, general";"126";"147";"168"
"Occupation";"11540";"7.3";"Shoveling, digging ditches";"460";"537";"613"
"Occupation";"11550";"8.8";"Shoveling, more than 16 lbs/minute, deep  digging, vigorous effort";"554";"647";"739"
"Occupation";"11560";"5";"Shoveling, less than 10 lbs/minute, moderate  effort";"315";"368";"420"
"Occupation";"11570";"6.5";"Shoveling, 10 to 15 lbs/minute, vigorous effort";"410";"478";"546"
"Occupation";"11580";"1.5";"Sitting tasks, light effort (e.g., office work,  chemistry lab work, light  assembly repair, watch repair, reading, desk  work)";"94";"110";"126"
"Occupation";"11582";"1.3";"Sitting, computer work";"82";"96";"109"
"Occupation";"11583";"1.3";"Standing workstation, typing, computer work";"82";"96";"109"
"Occupation";"11585";"1.3";"Sitting meetings, light effort, general, and/or with talking involved (e.g., eating at a business meeting)";"82";"96";"109"
"Occupation";"11590";"2.5";"Sitting tasks, moderate effort (e.g. pushing  heavy levers, riding mower/forklift, crane  operation)";"158";"184";"210"
"Occupation";"11593";"2.8";"Sitting, teaching stretching or yoga, or light  effort exercise classes";"176";"206";"235"
"Occupation";"11615";"4.5";"Standing, moderate effort, lifting items  continuously, 10 – 20 lbs, with limited walking  or resting";"284";"331";"378"
"Occupation";"11620";"3.8";"Standing, moderate effort, intermittent lifting  50 lbs, hitch or twisting ropes";"239";"279";"319"
"Occupation";"11630";"4.5";"Standing, moderate/heavy tasks (e.g., lifting  more than 50 lbs, masonry, painting, paper  hanging)";"284";"331";"378"
"Occupation";"11650";"2.3";"Patient care, healthcare activites";"145";"169";"193"
"Occupation";"11660";"3.5";"Patient care, room cleaning/preperation";"220";"257";"294"
"Occupation";"11708";"5.3";"Steel mill, moderate effort (e.g., fettling,  forging, tipping molds)";"334";"390";"445"
"Occupation";"11710";"8.3";"Steel mill, vigorous effort (e.g., hand rolling,  merchant mill rolling, removing slag, tending  furnace)";"523";"610";"697"
"Occupation";"11720";"2.3";"Tailoring, cutting fabric";"145";"169";"193"
"Occupation";"11730";"2.5";"Tailoring, general";"158";"184";"210"
"Occupation";"11740";"1.8";"Tailoring, hand sewing";"113";"132";"151"
"Occupation";"11750";"2.5";"Tailoring, machine sewing";"158";"184";"210"
"Occupation";"11760";"3.5";"Tailoring, pressing";"220";"257";"294"
"Occupation";"11763";"2";"Tailoring, weaving, light effort (e.g., finishing operations, washing, dyeing, inspecting cloth, counting yards, paperwork)";"126";"147";"168"
"Occupation";"11766";"6.5";"Truck driving, loading and unloading truck,  tying down load, standing, walking and  carrying heavy loads";"410";"478";"546"
"Occupation";"11767";"2";"Truck driving, delivery truck, taxi, shuttlebus,  school bus";"126";"147";"168"
"Occupation";"11770";"1.3";"Typing, electric, manual or computer";"82";"96";"109"
"Occupation";"11780";"6.3";"Using heavy power tools such as pneumatic  tools (e.g., jackhammers, drills, etc.)";"397";"463";"529"
"Occupation";"11790";"7.8";"Using heavy tools (not power) such as shovel,  pick, tunnel bar, spade";"491";"573";"655"
"Occupation";"11791";"2";"Walking on job, less than 2.0 mph, very slow  speed, in office or lab area";"126";"147";"168"
"Occupation";"11792";"3.8";"Walking on job, 2.8 to 3.4 mph, in office, moderate  speed, not carrying anything";"239";"279";"319"
"Occupation";"11793";"4.8";"Walking on job, 3.5 to 3.9 mph, in office, brisk speed,  not carrying anything";"302";"353";"403"
"Occupation";"11795";"3.5";"Walking on job, 2.5 mph, slow speed, carrying  light objects less than 25 lbs";"220";"257";"294"
"Occupation";"11796";"3";"Walking, gathering things at work, ready to  leave";"189";"220";"252"
"Occupation";"11797";"3.8";"Walking, 2.5 mph, slow speed, carrying heavy  objects more than 25 lbs";"239";"279";"319"
"Occupation";"11800";"4.5";"Walking, 3.0 mph, moderately and carrying  light objects less than 25 lbs";"284";"331";"378"
"Occupation";"11805";"3.8";"Walking, pushing a wheelchair";"239";"279";"319"
"Occupation";"11810";"4.5";"Walking, 3.5 mph, briskly and carrying objects  less than 25 lbs";"284";"331";"378"
"Occupation";"11820";"4";"Walking or walk downstairs or standing,  carrying objects about 25 to 49 lbs";"252";"294";"336"
"Occupation";"11830";"5.5";"Walking or walk downstairs or standing,  carrying objects about 50 to 74 lbs";"346";"404";"462"
"Occupation";"11840";"7";"Walking or walk downstairs or standing,  carrying objects about 75 to 99 lbs";"441";"514";"588"
"Occupation";"11850";"7.3";"Walking or walk downstairs or standing,  carrying objects about 100 lbs or more";"460";"537";"613"
"Occupation";"11860";"2.3";"Warehouse/Shipping Center, Loading/Unloading boxes";"145";"169";"193"
"Occupation";"11862";"4.3";"Warehouse/Shipping Center, Moving boxes (~5kg)";"271";"316";"361"
"Occupation";"11870";"3";"Working in scene shop, theater actor, backstage  employee";"189";"220";"252"
"Occupation";"11880";"3.5";"Soldiers, military marching, unloaded 1.5-2.5 mph";"220";"257";"294"
"Occupation";"11882";"4";"Soldiers, military marching, 1.5-2.5 mph, 10 to 30 kg load";"252";"294";"336"
"Occupation";"11884";"5";"Airborne Shuffle, 2.5 to 3.5 mph, 20-30 kg load";"315";"368";"420"
"Occupation";"11886";"6.3";"Soldiers, military loaded marching, varying terrain, 25-40 kg load";"397";"463";"529"
"Occupation";"11887";"6";"Soldiers, walking, 2.8 mph, 5% grade, up to 21.5 kg load";"378";"441";"504"
"Occupation";"11888";"8.5";"Soldiers, walking,  2.8 mph, 10% grade, up to 21.5 kg load";"536";"625";"714"
"Occupation";"11889";"11";"Soldiers, walking,  2.8 mph, 15% grade, up to 21.5 kg load";"693";"808";"924"
"Occupation";"11892";"6";"Military activities, arterial field preparation, digging defensive positions";"378";"441";"504"
"Running";"12010";"6";"Jog/walk combination (jogging component of less than 10 minutes) (Taylor Code 180)";"378";"441";"504"
"Running";"12020";"7.5";"Jogging, general, self-selected pace";"472";"551";"630"
"Running";"12025";"4.8";"Jogging, in place";"302";"353";"403"
"Running";"12026";"3.3";"Jogging 2.6 to 3.7 mph";"208";"243";"277"
"Running";"12027";"4.5";"Jogging on a mini-tramp";"284";"331";"378"
"Running";"12028";"6.5";"Running, 4 to 4.2 mph (13 min/mile)";"410";"478";"546"
"Running";"12029";"7.8";"Running 4.3 to 4.8 mph";"491";"573";"655"
"Running";"12030";"8.5";"Running, 5.0 to 5.2 mph (12 min/mile)";"536";"625";"714"
"Running";"12045";"9";"Running, 5.5 -5.8 mph";"567";"662";"756"
"Running";"12050";"9.3";"Running, 6-6.3 mph (10 min/mile)";"586";"684";"781"
"Running";"12060";"10.5";"Running, 6.7 mph (9 min/mile)";"662";"772";"882"
"Running";"12070";"11";"Running, 7 mph (8.5 min/mile)";"693";"808";"924"
"Running";"12080";"11.8";"Running, 7.5 mph (8 min/mile)";"743";"867";"991"
"Running";"12090";"12";"Running, 8 mph (7.5 min/mile)";"756";"882";"1008"
"Running";"12100";"12.5";"Running, 8.6 mph (7 min/mile)";"788";"919";"1050"
"Running";"12110";"13";"Running, 9 mph (6.5 min/mile)";"819";"956";"1092"
"Running";"12115";"14.8";"Running, 9.3 to 9.6 mph";"932";"1088";"1243"
"Running";"12120";"14.8";"Running, 10 mph (6 min/mile)";"932";"1088";"1243"
"Running";"12130";"16.8";"Running, 11 mph (5.5 min/mile)";"1058";"1235";"1411"
"Running";"12132";"18.5";"Running, 12 mph (5.0 min/mile)";"1166";"1360";"1554"
"Running";"12134";"19.8";"Running, 13 mph (4.6 min/mile)";"1247";"1455";"1663"
"Running";"12135";"23";"Running, 14 mph (4.3 min/mile)";"1449";"1690";"1932"
"Running";"12140";"9.3";"Running, cross country";"586";"684";"781"
"Running";"12145";"10.5";"Running, self-selected pace";"662";"772";"882"
"Running";"12150";"8";"Running (Taylor Code 200)";"504";"588";"672"
